Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","2.2µF","C_0805_2012Metric",173.700000,-74.100000,0.000000,top
"C2","2.2µF","C_0805_2012Metric",167.050000,-88.925000,0.000000,top
"C3","0.1µF","C_0603_1608Metric",186.350000,-73.500000,45.000000,top
"C4","4.7µF","C_0805_2012Metric",193.450000,-79.075000,0.000000,top
"C5","0.1µF","C_0603_1608Metric",189.750000,-79.125000,0.000000,top
"C6","0.1µF","C_0603_1608Metric",170.550000,-74.650000,135.000000,top
"C7","0.1µF","C_0603_1608Metric",193.750000,-84.925000,0.000000,top
"C8","0.1µF","C_0603_1608Metric",168.250000,-91.850000,-135.000000,top
"C9","0.1µF","C_0603_1608Metric",187.650000,-93.050000,-45.000000,top
"C10","0.1µF","C_0603_1608Metric",180.900000,-101.625000,90.000000,top
"C11","18pF","C_0603_1608Metric",190.100000,-81.950000,180.000000,top
"C12","10µF","C_0805_2012Metric",209.550000,-86.725000,90.000000,top
"C14","0.1µF","C_0603_1608Metric",189.305000,-106.900000,-90.000000,top
"C15","0.1µF","C_0603_1608Metric",170.050000,-94.200000,180.000000,top
"C16","4.7µF","C_0805_2012Metric",161.350000,-96.550000,180.000000,top
"C17","100µF","CP_Radial_D6.3mm_P2.50mm",214.550000,-83.000000,180.000000,top
"C18","4.7µF","C_0805_2012Metric",205.450000,-90.200000,0.000000,top
"C19","4.7µF","C_0805_2012Metric",199.350000,-99.250000,180.000000,top
"C25","0.1µF","C_0603_1608Metric",227.950000,-44.650000,-90.000000,top
"C26","330µF","CP_Radial_D8.0mm_P3.50mm",161.670000,-46.420000,180.000000,top
"C27","0.1µF","C_0603_1608Metric",168.200000,-34.878750,0.000000,top
"C28","0.1µF","C_0603_1608Metric",227.950000,-70.225000,0.000000,top
"C29","0.1µF","C_0603_1608Metric",167.800000,-58.228750,180.000000,top
"C30","0.1µF","C_0603_1608Metric",161.800000,-62.006250,0.000000,top
"C31","330µF","CP_Radial_D8.0mm_P3.50mm",177.930000,-46.300000,180.000000,top
"C32","0.1µF","C_0603_1608Metric",184.452651,-34.906250,0.000000,top
"C33","0.1µF","C_0603_1608Metric",184.077651,-58.243750,180.000000,top
"C34","0.1µF","C_0603_1608Metric",178.052651,-62.106250,0.000000,top
"C35","330µF","CP_Radial_D8.0mm_P3.50mm",194.160000,-46.706250,180.000000,top
"C36","0.1µF","C_0603_1608Metric",200.750000,-34.806250,0.000000,top
"C37","0.1µF","C_0603_1608Metric",200.325000,-58.168750,180.000000,top
"C38","0.1µF","C_0603_1608Metric",196.550000,-62.050000,0.000000,top
"C39","330µF","CP_Radial_D8.0mm_P3.50mm",210.460000,-46.175000,180.000000,top
"C40","0.1µF","C_0603_1608Metric",217.000000,-34.818750,0.000000,top
"C41","0.1µF","C_0603_1608Metric",216.675000,-58.181250,180.000000,top
"C42","0.1µF","C_0603_1608Metric",212.275000,-61.808750,0.000000,top
"C43","0.1µF","C_0603_1608Metric",164.500000,-77.675000,90.000000,top
"C44","0.1µF","C_0603_1608Metric",205.300000,-100.560000,-90.000000,top
"C45","18pF","C_0603_1608Metric",190.050000,-87.900000,0.000000,top
"C46","0.1µF","C_0603_1608Metric",227.950000,-37.150000,-90.000000,top
"C47","0.1µF","C_0603_1608Metric",227.950000,-29.850000,-90.000000,top
"C49","0.1µF","C_0603_1608Metric",214.430000,-71.350000,180.000000,top
"C50","22µF","C_0805_2012Metric",201.700000,-82.300000,-90.000000,top
"C51","22µF","C_0805_2012Metric",201.700000,-78.750000,90.000000,top
"C52","0.1µF","C_0603_1608Metric",204.100000,-86.125000,90.000000,top
"D1","D_Schottky","D_SOD-123",202.900000,-101.410000,-90.000000,top
"D2","D_Schottky","D_SMA",214.477500,-88.655000,180.000000,top
"D3","RED","LED_0805_2012Metric",192.337500,-101.700000,0.000000,top
"D4","GREEN","LED_0805_2012Metric",192.312500,-99.500000,0.000000,top
"D7","Green","LED_0805_2012Metric",226.300000,-64.700000,90.000000,top
"D8","D","D_SOD-123",227.025000,-68.037500,0.000000,top
"D9","D","D_SOD-123",227.050000,-60.587500,0.000000,top
"D10","Green","LED_0805_2012Metric",226.250000,-57.200000,90.000000,top
"D11","D","D_SOD-123",227.000000,-53.137500,0.000000,top
"D12","Green","LED_0805_2012Metric",226.250000,-49.800000,90.000000,top
"D13","D","D_SOD-123",223.025000,-95.700000,90.000000,top
"D14","Green","LED_0805_2012Metric",220.550000,-93.750000,90.000000,top
"D15","D","D_SOD-123",223.175000,-102.900000,90.000000,top
