Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2碌F,C_0805_2012Metric,173.7,-74.1,0,top
C2,2.2碌F,C_0805_2012Metric,167.05,-88.925,0,top
C3,0.1碌F,C_0603_1608Metric,186.35,-73.5,45,top
C4,4.7碌F,C_0805_2012Metric,193.45,-79.075,0,top
C5,0.1碌F,C_0603_1608Metric,189.75,-79.125,0,top
C6,0.1碌F,C_0603_1608Metric,170.55,-74.65,135,top
C7,0.1碌F,C_0603_1608Metric,193.75,-84.925,0,top
C8,0.1碌F,C_0603_1608Metric,168.25,-91.85,-135,top
C9,0.1碌F,C_0603_1608Metric,187.65,-93.05,-45,top
C10,0.1碌F,C_0603_1608Metric,180.9,-101.625,90,top
C11,18pF,C_0603_1608Metric,190.1,-81.95,180,top
C12,10碌F,C_0805_2012Metric,209.55,-86.725,90,top
C14,0.1碌F,C_0603_1608Metric,189.305,-106.9,-90,top
C15,0.1碌F,C_0603_1608Metric,170.05,-94.2,180,top
C16,4.7碌F,C_0805_2012Metric,161.35,-96.55,180,top
C17,100碌F,CP_Radial_D6.3mm_P2.50mm,214.55,-83,180,top
C18,4.7碌F,C_0805_2012Metric,205.45,-90.2,0,top
C19,4.7碌F,C_0805_2012Metric,199.35,-99.25,180,top
C25,0.1碌F,C_0603_1608Metric,227.95,-44.65,-90,top
C26,330碌F,CP_Radial_D8.0mm_P3.50mm,161.67,-46.42,180,top
C27,0.1碌F,C_0603_1608Metric,168.2,-34.87875,0,top
C28,0.1碌F,C_0603_1608Metric,227.95,-70.225,0,top
C29,0.1碌F,C_0603_1608Metric,167.8,-58.22875,180,top
C30,0.1碌F,C_0603_1608Metric,161.8,-62.00625,0,top
C31,330碌F,CP_Radial_D8.0mm_P3.50mm,177.93,-46.3,180,top
C32,0.1碌F,C_0603_1608Metric,184.452651,-34.90625,0,top
C33,0.1碌F,C_0603_1608Metric,184.077651,-58.24375,180,top
C34,0.1碌F,C_0603_1608Metric,178.052651,-62.10625,0,top
C35,330碌F,CP_Radial_D8.0mm_P3.50mm,194.16,-46.70625,180,top
C36,0.1碌F,C_0603_1608Metric,200.75,-34.80625,0,top
C37,0.1碌F,C_0603_1608Metric,200.325,-58.16875,180,top
C38,0.1碌F,C_0603_1608Metric,196.55,-62.05,0,top
C39,330碌F,CP_Radial_D8.0mm_P3.50mm,210.46,-46.175,180,top
C40,0.1碌F,C_0603_1608Metric,217,-34.81875,0,top
C41,0.1碌F,C_0603_1608Metric,216.675,-58.18125,180,top
C42,0.1碌F,C_0603_1608Metric,212.275,-61.80875,0,top
C43,0.1碌F,C_0603_1608Metric,164.5,-77.675,90,top
C44,0.1碌F,C_0603_1608Metric,205.3,-100.56,-90,top
C45,18pF,C_0603_1608Metric,190.05,-87.9,0,top
C46,0.1碌F,C_0603_1608Metric,227.95,-37.15,-90,top
C47,0.1碌F,C_0603_1608Metric,227.95,-29.85,-90,top
C49,0.1碌F,C_0603_1608Metric,214.43,-71.35,180,top
C50,22碌F,C_0805_2012Metric,201.7,-82.3,-90,top
C51,22碌F,C_0805_2012Metric,201.7,-78.75,90,top
C52,0.1碌F,C_0603_1608Metric,204.1,-86.125,90,top
D1,D_Schottky,D_SOD-123,202.9,-101.41,-90,top
D2,D_Schottky,D_SMA,214.4775,-88.655,180,top
D3,RED,LED_0805_2012Metric,192.3375,-101.7,0,top
D4,GREEN,LED_0805_2012Metric,192.3125,-99.5,0,top
D7,Green,LED_0805_2012Metric,226.3,-64.7,90,top
D8,D,D_SOD-123,227.025,-68.0375,0,top
D9,D,D_SOD-123,227.05,-60.5875,0,top
D10,Green,LED_0805_2012Metric,226.25,-57.2,90,top
D11,D,D_SOD-123,227,-53.1375,0,top
D12,Green,LED_0805_2012Metric,226.25,-49.8,90,top
D13,D,D_SOD-123,223.025,-95.7,90,top
D14,Green,LED_0805_2012Metric,220.55,-93.75,90,top
D15,D,D_SOD-123,223.175,-102.9,90,top
D16,Green,LED_0805_2012Metric,215.075,-109.175,0,top
F1,Fuse,Fuse_Blade_Mini_directSolder,221.525,-81.175,-90,top
J1,Micro_SD_Card,microSD_HC_Hirose_DM3AT-SF-PEJM5,170.87,-103.85,0,top
J2,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical,182.09,-107.47,90,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,200.8,-109.02,0,top
J4,Conn_01x04,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,166.05,-26.85,0,top
J5,Conn_01x04,PinHeader_1x04_P2.00mm_Vertical,158.8,-58.2,90,top
J6,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,233,-43.65,-90,top
J7,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,183.3,-67.025,180,top
J8,Conn_02x04_Odd_Even,PinHeader_2x04_P2.00mm_Vertical,158.8,-55.97875,90,top
J9,Conn_01x10,IDC-Header_2x05_P2.54mm_Vertical,159.9275,-88.805,180,top
